Sentence,Emotion,Emotion_ID
"Okay, I'm not into sushi, but...",neutral,0
"Oh, not? Well, you say it then.",sadness,5
Whatever you are. I'll let myself be surprised.,surprise,6
"No, but what did you feel like?",neutral,0
"Yes, I haven't really thought about it, actually.",neutral,0
I am... That doesn't matter much to me.,neutral,0
"Yes, this way we won't get there. No.",anger,1
"But as I said, I do want to try sushi.",neutral,0
"You have those with meat too, right, or is that only with fish?",neutral,0
Yes.,neutral,0
Yes.,neutral,0
"A goldfish, right?",neutral,0
"So, fish piece?",surprise,6
"Yes. No, that doesn't matter much to me.",neutral,0
You just make something up.,neutral,0
"Yes, this way we won't get anywhere. It really has to be a bit together.",anger,1
"Yes, that's true. Yes, you have a good point there.",neutral,0
One must take the lead.,neutral,0
"Yes, okay, that's true.",neutral,0
"Well, go get some, potatoes or something.",anger,1
"Just those little potatoes then. Yes, fine.",neutral,0
As for breakfast. Yes.,neutral,0
I'm not going to say that you don't eat breakfast.,neutral,0
"Yes. Yes, yes.",neutral,0
"Yes, look...",neutral,0
"The weekend or with my daughter is different, but...",neutral,0
I have a daughter.,happiness,4
"Oh yeah? Yes. You, children?",neutral,0
"No. Yes, I have a cat.",neutral,0
How old are you actually? I am thirty.,neutral,0
Thirty? Okay.,neutral,0
"Yes, you? I am actually forty.",neutral,0
Forty already? Oh no.,sadness,5
"O, sorry.",sadness,5
"No, not at all. I don't feel forty, really.",neutral,0
"No, that's fine.",neutral,0
Rob and Amber immediately share a passion for speed...,happiness,4
and immediately switched into action mode.,happiness,4
A game of water bowling doesn't compare to a motorcycle ride...,neutral,0
but it's a good second.,happiness,4
Single for long?,neutral,0
"I have been really single for about three years, I think.",neutral,0
Yes.,neutral,0
I have dated in the meantime.,neutral,0
And especially the men suffer from that.,sadness,5
I constantly think about tasty things.,happiness,4
"Cones on top, jars, ice cream, you name it.",happiness,4
"I do notice, because I am tall...",neutral,0
that I want to eat more than the rest.,happiness,4
"Look, look. It looks creepy.",fear,3
"Yes, yes, yes. You are going to mess up.",disgust,2
"We have a real baking tray, man.",happiness,4
"We are very happy with one little pancake, as we call it.",happiness,4
Normally someone eats five pancakes in the morning.,neutral,0
We are eating one little pancake with the seven of us.,sadness,5
That is little.,sadness,5
"Oh, that looks really tasty.",happiness,4
We are just going to eat on it now.,neutral,0
I think we'll make one.,neutral,0
"But it's the first part, right?",neutral,0
"No, thank you.",neutral,0
"Tasty. Good, really. Very good.",happiness,4
Very good.,happiness,4
"At Simbang, the raft has come loose again, as it does every morning.",neutral,0
"For some time now, Jennifer has wanted to break it off.",sadness,5
But Erik doesn't want that.,sadness,5
Should we chop up that raft as quickly as possible and use it?,fear,3
Not yet. Why not?,surprise,6
Every morning we have a hassle with that raft.,anger,1
Then we have to make sure that there is no more messing around every morning.,anger,1
"Then you have to make an appointment with the sea, that it leaves the raft alone.",neutral,0
I don't think that's so good either.,disgust,2
He is very good at making suggestions and getting other people to carry them out.,happiness,4
If they let him go now...,fear,3
You are being a bit patronized.,anger,1
It's as if you are a little child that he is always talking to.,disgust,2
He always has to explain everything too...,anger,1
There is the sea. Here it comes drifting towards it.,neutral,0
Then I'll pick it up. Then you can have it afterwards.,neutral,0
"And at a certain point, that starts to become very annoying.",anger,1
We are now going to try to capture him.,neutral,0
We have no fuel and no raft and nothing.,sadness,5
I think the intention was to use that raft immediately when we arrived.,neutral,0
And to let that wood dry for firewood.,neutral,0
But we do not always know what the intention is.,fear,3
Or destroy the decay.,disgust,2
"For now, I let the raft go for a while like a little dog on a leash.",neutral,0
And then we can decide later what we are going to do with it.,neutral,0
Today there is another new confrontation between both camps.,fear,3
The island inhabitants are therefore quite tense.,fear,3
And then it turns out Coenraad is also unreachable.,sadness,5
"Guys, you already have a bit of worry about Coenraad.",fear,3
"I think we should go and look soon, because it's taking too long.",anger,1
"That already makes me a little scared, you know.",fear,3
Me too. Me too. Me too. Me too.,neutral,0
People talk to me a little less.,sadness,5
There is some walking around me.,fear,3
That feeling comes from little things.,happiness,4
Jennifer who was very open with me.,happiness,4
That one suddenly...,surprise,6
...lowers shutters and walks around me.,fear,3
Someone has to leave?,fear,3
"Someone has to leave, that's the problem.",sadness,5
That is the big problem with that.,sadness,5
How?,surprise,6
We can all say that.,neutral,0
Who is leaving?,neutral,0
"Well, you're not leaving, you know.",anger,1
I personally doubt differently than usual.,fear,3
"It is possible, but...",neutral,0
They still need me a little bit.,happiness,4
I think they still need me a little bit.,fear,3
Stop with my friends.,anger,1
There is no one I actually don't get along with.,happiness,4
Or nobody that I say like...,neutral,0
"Oh god, we're saving him again.",anger,1
"No, nobody.",neutral,0
That is very difficult.,sadness,5
I'm going to vote for...,happiness,4
Juan.,neutral,0
I think he has a big streak of selfishness in him.,disgust,2
I'm going to vote for Erik.,neutral,0
I think he is a very wise man.,happiness,4
"But for the group, I think it's better that he is the one then.",sadness,5
You are here because you lost the elimination challenge.,sadness,5
Richard.,neutral,0
"You are at least very happy here, right?",happiness,4
I am always happy. No problems.,happiness,4
How do you compare that to daily life?,neutral,0
Here I am free. Happy. No nagging. Nothing.,happiness,4
I am really happy.,happiness,4
"Even a surplus of it, actually.",happiness,4
Because I am sick and tired of that constant nagging from society.,anger,1
That's why I am very happy here.,happiness,4
Very happy.,happiness,4
An expedition member has already left prematurely.,sadness,5
"You weren't able to keep Hilde in the group, Pascal.",sadness,5
"Yes, we did try to pull her through.",happiness,4
And then it went up and down.,neutral,0
"And in the end, she let it go and asked to be allowed to leave.",sadness,5
"She didn't sleep, she didn't eat.",sadness,5
That is really a wreck.,disgust,2
Erik.,neutral,0
"In daily life, you train top managers.",neutral,0
"You are specialized in group dynamics, may I put it that way?",neutral,0
Yes.,neutral,0
"I have a sandy taste now, but it's not too bad.",neutral,0
"But here and there, I think there's still a little leg hanging.",neutral,0
Jennifer.,neutral,0
You have won this diving set for your team.,happiness,4
And of course...,neutral,0
for our boat...,neutral,0
a fish pond.,neutral,0
Great.,happiness,4
Jennifer wants to use the won diving mask to search for the dropped survival package.,happiness,4
That was a few days ago by a woman...,neutral,0
That was dumped into the water by a helicopter a few days ago.,neutral,0
"Besides some food, there was also material in it.",neutral,0
"Yes, we saw him there for the last time.",neutral,0
There.,neutral,0
"And then about at that protruding little neck, so to speak.",neutral,0
Go find a trophy.,neutral,0
The women of Camp South move to the other side of their island.,neutral,0
"Despite the hunger, they briefly enjoy the idyllic moment.",happiness,4
Now you do notice that you have less energy.,sadness,5
"Right, Christine too.",neutral,0
When we came off the beach...,happiness,4
"to get dressed, to come here.",neutral,0
I stood behind it and so on...,neutral,0
Yes.,neutral,0
Everything takes ten times more effort than usual.,sadness,5
The men from South have stayed in the camp.,neutral,0
They feel their strength draining away.,sadness,5
We are getting more tired.,sadness,5
"You can see it, everyone needs rest more often.",neutral,0
We can't work as hard as we did in the beginning anymore.,sadness,5
"Of course, we have big men with us.",happiness,4
We divide the food into seven portions.,neutral,0
Everyone gets exactly the same amount.,neutral,0
The men are used to eating even more than we are.,neutral,0
"As a result, they become physically a bit heavier.",sadness,5
"It is about surviving, yes.",sadness,5
"At Simbang, Jennifer keeps searching for the material from the survival kit.",neutral,0
We have found an empty chest.,surprise,6
I don't think we'll get around to finding out what was in it.,sadness,5
It's not worth it.,sadness,5
It is really dangerous.,fear,3
"Nothing at all, an empty coffin.",sadness,5
You get slammed against those rocks.,fear,3
We try not to do those.,fear,3
It is really dangerous.,fear,3
It is really dangerous.,fear,3
It is really dangerous.,fear,3
It is really dangerous.,fear,3
It is really dangerous.,fear,3
That one is way too strong.,fear,3
It's nothing but rocks and coral.,fear,3
"You as a person, don't change a thing.",happiness,4
"Only my feeling towards you is, I think, nothing more than friends.",sadness,5
And if there had been even something...,fear,3
I could build on this.,happiness,4
I definitely would have chosen to extend.,sadness,5
But something about me says...,fear,3
"No, there is nothing that could become a relationship.",sadness,5
Yes.,neutral,0
But I really enjoyed these 24 hours a lot.,happiness,4
"Yes, I also found it really fun.",happiness,4
I thought it was super fun. Yes.,happiness,4
"Then we're going to pack our things, I think.",neutral,0
Yes.,neutral,0
And you can stay a little longer.,neutral,0
"Yes, definitely. I'll leave them for a while.",neutral,0
These two ladies are going home now.,neutral,0
But Rob is adding another day to it.,happiness,4
Because there is another lady waiting for him.,happiness,4
And hopefully she will want to extend after 24 hours.,happiness,4
Very nice. Thank you.,happiness,4
"For the experience. Yes, you too.",happiness,4
And for the fun 24 hours. Absolutely.,happiness,4
And you too. And you too.,happiness,4
"Thank you, girl.",happiness,4
"Okay. Bye. Greetings, huh. Bye, bye.",neutral,0
Are you charmed by Angela...,neutral,0
and you can probably come up with more fun things to do with her than a round of karaoke...,happiness,4
then sign up quickly.,surprise,6
Because she certainly won't say no to a new date.,happiness,4
It was super cozy. Did we find her pleasure?,happiness,4
"Yes, certainly. Well.",neutral,0
Welcome home.,happiness,4
"Yes, thank you. Yes.",happiness,4
Then I wish you a pleasant stay here.,happiness,4
"Yes, thank you. Get home safely.",happiness,4
"Okay. Bye. Bye, bye.",neutral,0
Marina is also open to a new little adventure...,happiness,4
just to say it in a nice flirty way.,happiness,4
"Because if you want to win her heart, you have to do your best for 24 hours.",neutral,0
"Are you taking on that challenge, then sign up quickly?",happiness,4
"At the other apartment, we see Kaylee going down and up the stairs.",neutral,0
This 30-year-old administrative assistant from Amsterdam is looking forward to it...,happiness,4
because she is completely ready for love.,happiness,4
"Red hair, right?",neutral,0
"The rustier the roof, the wetter the cellar.",sadness,5
"Well, can you tell me? I don't know which accommodation it was with me...",sadness,5
"but that the roof, however rusty it is, is dry.",happiness,4
"I personally think I won't succeed, because I am really very picky.",sadness,5
"I have a man in my head. And the rest, I don't need.",happiness,4
"Just nice blond hair, blue eyes. That's smooth, right? But not too smooth.",neutral,0
Her beautiful. Perfect. Perfect. Important. Perfect.,happiness,4
Maybe it is awake.,neutral,0
Salt.,neutral,0
Yes!,happiness,4
The last two participants. Koenraad and Richard.,neutral,0
Yes!,happiness,4
"Come on, Rambo!",happiness,4
"That is a small octopus, actually.",neutral,0
"Very edible, you know.",happiness,4
Enjoy your meal.,happiness,4
"I hadn't skipped anything. No, really.",fear,3
They were all tasty.,happiness,4
"I would have preferred those crickets, rather than that thing in between.",disgust,2
Yoohoo!,happiness,4
"Great, man.",happiness,4
"You're welcome, kid.",happiness,4
30 seconds.,surprise,6
"Okay, after seven rounds the score is still tied.",neutral,0
That means we are going to do the following.,neutral,0
Team South and Team North.,neutral,0
You may both choose someone from the other team...,surprise,6
who is going to eat these delicious kakkelijken.,happiness,4
"Whoever finishes them all first, wins.",neutral,0
"Team South, who did you choose from Team North to eat?",neutral,0
"God, that was also a surprise.",surprise,6
"Team North, who did you choose from Team South?",neutral,0
Christine.,neutral,0
"Okay, both of you take the kakkelijken in your hand...",neutral,0
and get into your positions.,neutral,0
It's just really gross.,disgust,2
"I had said at home, no matter what happens...",sadness,5
I am not going to eat that horrible filthy nasty animal.,disgust,2
I find this so terribly disgusting.,disgust,2
"You may eat one by one, or all at once.",neutral,0
You can choose for yourselves.,neutral,0
But I am going to pay attention even to the little legs that remain on your tongues.,neutral,0
Are you ready?,surprise,6
A start.,neutral,0
"I was just thinking, as long as it tastes like something...",fear,3
who actually tastes like a licorice...,surprise,6
that it tastes like a chip or a cockroach.,disgust,2
"Moesters, can you also eat?",neutral,0
Sit down.,neutral,0
It is so incredibly gross and dirty.,disgust,2
You are just standing there against your will and then you are stuffing that into your mouth.,disgust,2
That is just horrible.,disgust,2
"Good job, girls.",happiness,4
Do that stuff. Those are really dry.,anger,1
I had them all in my mouth. I had crushed them all.,neutral,0
I couldn't swallow it.,sadness,5
They are gone.,sadness,5
Washed away.,sadness,5
And we do have a lot in common.,happiness,4
So I am someone who wants to discover what other things we have in common.,happiness,4
Ok̩.,neutral,0
I don't know how you feel about it.,neutral,0
I am curious what else might be in there.,surprise,6
"But I don't know if that's already there now, so to speak.",fear,3
"No, but you can also indicate that just fine later.",neutral,0
Ok̩.,neutral,0
"Yeah sure, nothing has to be done.",neutral,0
We have only been together for a few hours.,neutral,0
That's correct.,neutral,0
"Do you see that you think, wow, this does have potential?",surprise,6
How do you mean?,surprise,6
Or that you just want interest if you can write in my friendship books?,neutral,0
I don't have a female friend.,sadness,5
That was my answer.,neutral,0
"No, yes.",neutral,0
"No, yes.",neutral,0
I still see more than this.,surprise,6
God.,surprise,6
So are we looking forward to more?,happiness,4
Yes.,neutral,0
"Yes, that's what we're here for, right?",happiness,4
"I didn't expect it, to be honest.",surprise,6
"Oh, you didn't expect that you would like me?",surprise,6
No.,neutral,0
Okay.,neutral,0
But because of the age?,fear,3
"Look, when you said you were forty, I did think, oh, she probably doesn't want children anymore or anything like that.",neutral,0
And I really have a desire for children.,happiness,4
"Preferably yesterday, or at least today, so to speak.",happiness,4
Okay.,neutral,0
Fill me up.,happiness,4
That can be arranged.,happiness,4
So that's really important to me.,neutral,0
"But because I myself am quite a live wire, that could be a turn-off for you.",fear,3
"That you think, Jesus, what kind of child is this?",surprise,6
"No, but I did mention that, right?",anger,1
That I might be open to those kinds of things.,neutral,0
Do you know?,neutral,0
"I can't say it now, of course.",neutral,0
Let's make children tomorrow.,happiness,4
"No, that won't work either.",sadness,5
"We can practice, you know?",happiness,4
We can do that.,neutral,0
"I only bought those worthless condos, but it doesn't matter.",sadness,5
The aged cheese is tastier than the young cheese.,neutral,0
"The older, the better.",happiness,4
"Yes, I think so.",neutral,0
Usually it is like that.,neutral,0
And then she looked at me.,surprise,6
I'm going to make a list for a moment.,neutral,0
"Well, then we'll just do yogurt.",sadness,5
"Yes, right? I am very needed!",happiness,4
I pretended to be hungry for the yogurt.,neutral,0
"Yes, stupid, Twint.",anger,1
"I'm having such a nice chat in the aircraft, I completely forgot.",happiness,4
I had specially brought the list with me.,neutral,0
"If she still does it, I will do it.",neutral,0
"Yes, how terrible Tint, you should be so ashamed!",disgust,2
Do you want to say that I can still do it?,fear,3
"Yes, because otherwise we have a very big problem.",fear,3
"Hello, am I disturbing?",fear,3
"No, not at all!",neutral,0
We have a problem.,fear,3
What then?,surprise,6
Erica forgot to email about tomorrow's breakfast.,sadness,5
"Never mind, just put it on the app instead.",neutral,0
"Oh, then I'll put it on his app.",neutral,0
"Yes, that's a good one.",happiness,4
"Yes, Jamie, I'll put it on his app.",neutral,0
"Yes, that's fine.",happiness,4
What time do you want it tomorrow?,neutral,0
Eight o'clock.,neutral,0
What time would you like your breakfast here?,neutral,0
"Oh, no.",sadness,5
Can you all be out of the house by seven o'clock through your door?,neutral,0
Eight o'clock then.,neutral,0
Eight o'clock breakfast?,surprise,6
"Yes, but then we have to do it again.",disgust,2
"Yes, of course, I'll make sure I have it.",neutral,0
We have to be here at seven o'clock.,neutral,0
"Seven o'clock, Jamie, here!",surprise,6
Seven o'clock!,surprise,6
"Yes, maybe.",neutral,0
Just listening.,neutral,0
Tomorrow the demolition workers are coming at seven o'clock.,fear,3
Do I hear it?,surprise,6
"I don't know, they are happy that we have breakfast at seven o'clock.",happiness,4
"So you all wake up early, sorry!",sadness,5
"Hey, hello! Loontjestrek already!",happiness,4
For Sinterklaas!,happiness,4
"Don't say anything yet, don't say anything to Almans yet.",fear,3
What?,surprise,6
Of course I have the best one.,happiness,4
"How come? You have a room because of your family, you know.",surprise,6
Blaskaak!,anger,1
Blaskaak!,anger,1
"I am very curious, because there are also some without a shower screen.",surprise,6
Or no door in the toilet.,disgust,2
What do you have?,neutral,0
Ooh! Are we in the eating mess!,surprise,6
Now we know that we can continue and that we can finally eat something warm.,happiness,4
A warm meal.,happiness,4
South can now cook the rice from the emergency ration.,neutral,0
But the amount of rice to cook puts a stop to the discussion.,neutral,0
One third.,neutral,0
One third of what? What's in here?,neutral,0
One third of eleven. Way too much.,fear,3
One third of eleven.,neutral,0
"Oh, man.",sadness,5
"I don't have to decide that alone, but...",neutral,0
Then we'll estimate what a cup per person is.,neutral,0
"No, this is not a cup.",anger,1
That is really too much.,fear,3
"If we do this eight times, it's really too much.",fear,3
Just fill the lid a little bit.,neutral,0
And then we'll see.,neutral,0
This is too little.,sadness,5
"Oh, man. Come on.",anger,1
"Oh, guys.",sadness,5
Christine just keeps rattling on.,anger,1
She can't be stopped.,anger,1
"And she does want a lot, but not everything she wants happens.",sadness,5
It's about the idea. We also want to eat tonight.,neutral,0
Soon Camp South has to go to the island council.,fear,3
The question that occupies everyone is...,surprise,6
who has to leave the expedition first?,fear,3
I would really find that a setback.,sadness,5
"Not for my pride, but because I have not survived enough yet.",neutral,0
I have not yet dragged and kissed membranes at sea.,sadness,5
I still have so much to do and I haven't found shelter yet.,fear,3
I have not yet encountered myself and I have not yet found a boundary for light.,neutral,0
So I would really find it a disaster.,fear,3
A disaster or...,fear,3
Yes.,neutral,0
Really a disaster? A disaster.,neutral,0
It would be a pity.,sadness,5
Then you could say...,neutral,0
"It was really cool to have participated, with everything included.",happiness,4
But... There's little we can do about it.,sadness,5
I'm going to vote for Coenraad.,neutral,0
"Simply because he is the one who fits in the least with the group, personally.",sadness,5
"That is really a very kind man, a truly good heart.",happiness,4
But I just think that he is a bit too intelligent for us.,sadness,5
He seems to be on a higher level.,happiness,4
Here we may sit with our finger (on the trigger).,fear,3
"Since I have to vote, I vote for Lopke.",neutral,0
Because she seems the most inexperienced.,neutral,0
She is quite impulsive.,neutral,0
But I fear that she is going to collapse one of these days.,fear,3
Camp South on the way to the island council.,neutral,0
"In the past few days, they have had to work together in order to survive.",neutral,0
"He really hears you, yes.",neutral,0
"At our place, it was in a bedroom for Claire, when Claire comes to sleep over sometimes.",happiness,4
But that's actually a shame.,sadness,5
But I will add a card to it. Please do not touch.,anger,1
"I also have a band, by the way.",happiness,4
I also have a collar. Also nice to put around it.,happiness,4
Then we can hang the card on it.,neutral,0
"Yes, just push on it.",neutral,0
Shit.,anger,1
Why is there a stain on this?,anger,1
Why do you always have blood?,surprise,6
"Grandma, don't lick that, boy.",fear,3
"Look, Bommel is here too.",surprise,6
"Oh, does it have to go on that chair?",surprise,6
