Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity
1900-01-01 00:02:51,1900-01-01 00:02:53,"Oh, I'm scared what's going to happen.","Oh, I'm scared what's going to happen.",apprehension,fear,moderate
1900-01-01 00:02:53,1900-01-01 00:02:56,"I just don't understand, like, what else I can do.","I just don't understand, like, what else I can do.",confusion,sadness,moderate
1900-01-01 00:03:04,1900-01-01 00:03:07,A rare rainy day in California.,A rare rainy day in California.,nostalgia,happiness,mild
1900-01-01 00:03:07,1900-01-01 00:03:10,What better way to pick you up than a nice lunch?,What better way to pick you up than a nice lunch?,encouragement,happiness,mild
1900-01-01 00:03:10,1900-01-01 00:03:12,"Right, Charlie's Italian food.","Right, Charlie's Italian food.",recognition,neutral,neutral
1900-01-01 00:03:13,1900-01-01 00:03:15,Hi.,Hi.,greeting,neutral,neutral
1900-01-01 00:03:15,1900-01-01 00:03:19,"When Chef walked in, I just laughed.","When Chef walked in, I just laughed.",amusement,happiness,mild
1900-01-01 00:03:19,1900-01-01 00:03:21,"Because that's what, I don't know what to do","Because that's what, I don't know what to do",confusion,sadness,moderate
1900-01-01 00:03:21,1900-01-01 00:03:23,with this nervous energy and this anxiety.,with this nervous energy and this anxiety.,anxiety,fear,moderate
1900-01-01 00:03:23,1900-01-01 00:03:24,How are you?,How are you?,curiosity,neutral,neutral
1900-01-01 00:03:24,1900-01-01 00:03:26,"Oh, my gosh.","Oh, my gosh.",astonishment,surprise,moderate
1900-01-01 00:03:26,1900-01-01 00:03:27,And this is?,And this is?,curiosity,surprise,mild
1900-01-01 00:03:27,1900-01-01 00:03:28,Tatiana.,Tatiana.,neutrality,neutral,neutral
1900-01-01 00:03:28,1900-01-01 00:03:29,Tatiana.,Tatiana.,neutrality,neutral,neutral
1900-01-01 00:03:29,1900-01-01 00:03:30,Yeah.,Yeah.,agreement,neutral,neutral
1900-01-01 00:03:30,1900-01-01 00:03:31,Is Charlie in?,Is Charlie in?,curiosity,neutral,neutral
1900-01-01 00:03:31,1900-01-01 00:03:32,"No, he's not.","No, he's not.",denial,anger,mild
1900-01-01 00:03:32,1900-01-01 00:03:33,"Okay, the restaurant's called Charlie.","Okay, the restaurant's called Charlie.",calm,neutral,neutral
1900-01-01 00:03:33,1900-01-01 00:03:34,Who is he?,Who is he?,curiosity,neutral,mild
1900-01-01 00:03:34,1900-01-01 00:03:35,Charlie was the original owner.,Charlie was the original owner.,neutrality,neutral,neutral
1900-01-01 00:03:35,1900-01-01 00:03:36,Charlie owned it.,Charlie owned it.,pride,happiness,mild
1900-01-01 00:03:36,1900-01-01 00:03:37,Charlie owned it.,Charlie owned it.,pride,happiness,mild
1900-01-01 00:03:37,1900-01-01 00:03:38,So there's no Charlie?,So there's no Charlie?,disappointment,sadness,mild
1900-01-01 00:03:38,1900-01-01 00:03:39,"No, no.","No, no.",rejection,anger,mild
1900-01-01 00:03:39,1900-01-01 00:03:40,I used to work here as a waitress.,I used to work here as a waitress.,nostalgia,sadness,mild
1900-01-01 00:03:40,1900-01-01 00:03:41,"Oh, okay.","Oh, okay.",resignation,neutral,mild
1900-01-01 00:03:41,1900-01-01 00:03:42,When Charlie owned it.,When Charlie owned it.,nostalgia,sadness,mild
1900-01-01 00:03:42,1900-01-01 00:03:44,And then he sold it to another person named Simon.,And then he sold it to another person named Simon.,indifference,neutral,neutral
1900-01-01 00:03:44,1900-01-01 00:03:45,"Okay, great.","Okay, great.",satisfaction,happiness,mild
1900-01-01 00:03:45,1900-01-01 00:03:47,"And then when Simon ran this into the ground, he dumped it.","And then when Simon ran this into the ground, he dumped it.",resentment,anger,moderate
1900-01-01 00:03:47,1900-01-01 00:03:48,Simon bought it off Charlie.,Simon bought it off Charlie.,matter-of-factness,neutral,neutral
1900-01-01 00:03:48,1900-01-01 00:03:49,Mm-hmm.,Mm-hmm.,acknowledgment,neutral,neutral
1900-01-01 00:03:49,1900-01-01 00:03:51,And then dumped it on you.,And then dumped it on you.,resentment,anger,moderate
1900-01-01 00:03:51,1900-01-01 00:03:52,Just dumped it in general.,Just dumped it in general.,resignation,sadness,mild
1900-01-01 00:03:52,1900-01-01 00:03:55,And then I took it over because I love this restaurant.,And then I took it over because I love this restaurant.,affection,happiness,moderate
1900-01-01 00:03:55,1900-01-01 00:03:57,We took it over.,We took it over.,assertiveness,neutral,neutral
1900-01-01 00:03:57,1900-01-01 00:03:58,My mom and my sister.,My mom and my sister.,neutrality,neutral,neutral
1900-01-01 00:03:58,1900-01-01 00:03:59,"Oh, is it?","Oh, is it?",skepticism,surprise,mild
1900-01-01 00:03:59,1900-01-01 00:04:00,Yeah.,Yeah.,agreement,neutral,neutral
1900-01-01 00:04:00,1900-01-01 00:04:01,"Caprice, hello.","Caprice, hello.",greeting,neutral,neutral
1900-01-01 00:04:01,1900-01-01 00:04:02,I'm Val.,I'm Val.,neutrality,neutral,neutral
1900-01-01 00:04:02,1900-01-01 00:04:03,"Val, nice to see you, darling.","Val, nice to see you, darling.",warmth,happiness,mild
1900-01-01 00:04:03,1900-01-01 00:04:04,Nice to meet you.,Nice to meet you.,politeness,neutral,neutral
1900-01-01 00:04:04,1900-01-01 00:04:05,And this is?,And this is?,curiosity,surprise,mild
1900-01-01 00:04:05,1900-01-01 00:04:06,I'm Pat.,I'm Pat.,neutrality,neutral,neutral
1900-01-01 00:04:06,1900-01-01 00:04:07,"Pat, nice to see you, my darling.","Pat, nice to see you, my darling.",affection,happiness,mild
1900-01-01 00:04:07,1900-01-01 00:04:08,"Why don't you come over, Val and Mom.","Why don't you come over, Val and Mom.",invitation,neutral,neutral
1900-01-01 00:04:08,1900-01-01 00:04:09,Be nice to the kids.,Be nice to the kids.,concern,neutral,mild
1900-01-01 00:04:09,1900-01-01 00:04:10,"And Mom, it would be nice to catch up","And Mom, it would be nice to catch up",longing,happiness,mild
1900-01-01 00:04:10,1900-01-01 00:04:11,and get up to speed with what's happening.,and get up to speed with what's happening.,curiosity,neutral,mild
1900-01-01 00:04:11,1900-01-01 00:04:12,When can we go somewhere quiet?,When can we go somewhere quiet?,yearning,sadness,mild
1900-01-01 00:04:12,1900-01-01 00:04:13,We can go outside if you'd like.,We can go outside if you'd like.,accommodation,neutral,neutral
1900-01-01 00:04:13,1900-01-01 00:04:14,Shall we?,Shall we?,anticipation,happiness,mild
1900-01-01 00:04:14,1900-01-01 00:04:15,Let's go outside.,Let's go outside.,enthusiasm,happiness,mild
1900-01-01 00:04:15,1900-01-01 00:04:16,Excellent.,Excellent.,satisfaction,happiness,mild
1900-01-01 00:04:16,1900-01-01 00:04:18,Tatiana needs to learn effective ways,Tatiana needs to learn effective ways,expectation,neutral,neutral
1900-01-01 00:04:18,1900-01-01 00:04:20,of doing things around here.,of doing things around here.,resignation,sadness,mild
1900-01-01 00:04:20,1900-01-01 00:04:23,"So, and first of all, it's so important","So, and first of all, it's so important",emphasis,neutral,mild
1900-01-01 00:04:23,1900-01-01 00:04:26,that I catch up with what's been happening.,that I catch up with what's been happening.,curiosity,neutral,mild
1900-01-01 00:04:26,1900-01-01 00:04:29,Whose idea was this to run a restaurant?,Whose idea was this to run a restaurant?,curiosity,neutral,neutral
1900-01-01 00:04:29,1900-01-01 00:04:31,Her dream.,Her dream.,curiosity,neutral,neutral
1900-01-01 00:04:31,1900-01-01 00:04:33,I've loved this restaurant.,I've loved this restaurant.,affection,happiness,moderate
1900-01-01 00:04:33,1900-01-01 00:04:35,I've worked here since I was 20 years old.,I've worked here since I was 20 years old.,nostalgia,neutral,neutral
1900-01-01 00:04:35,1900-01-01 00:04:37,Whenever working in a business to running a business,Whenever working in a business to running a business,contemplation,neutral,neutral
1900-01-01 00:04:37,1900-01-01 00:04:38,is completely different scenario.,is completely different scenario.,confusion,surprise,mild
1900-01-01 00:04:38,1900-01-01 00:04:39,"Yeah, it's completely different.","Yeah, it's completely different.",acknowledgment,neutral,neutral
1900-01-01 00:04:39,1900-01-01 00:04:41,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:04:41,1900-01-01 00:04:43,How much money did you need to get on the table,How much money did you need to get on the table,curiosity,neutral,neutral
1900-01-01 00:04:43,1900-01-01 00:04:44,before you took over?,before you took over?,suspicion,fear,mild
1900-01-01 00:04:44,1900-01-01 00:04:47,Mom put all her retirement money into it.,Mom put all her retirement money into it.,concern,fear,moderate
1900-01-01 00:04:47,1900-01-01 00:04:48,Really?,Really?,skepticism,surprise,mild
1900-01-01 00:04:48,1900-01-01 00:04:49,I put all that together.,I put all that together.,accomplishment,happiness,mild
1900-01-01 00:04:49,1900-01-01 00:04:51,"You know, the house and her house.","You know, the house and her house.",confusion,neutral,mild
1900-01-01 00:04:51,1900-01-01 00:04:52,"My condo, yeah.","My condo, yeah.",affirmation,neutral,neutral
1900-01-01 00:04:52,1900-01-01 00:04:56,"So as the restaurant goes, your houses go.","So as the restaurant goes, your houses go.",foreboding,fear,moderate
1900-01-01 00:04:56,1900-01-01 00:04:57,Wow.,Wow.,amazement,surprise,mild
1900-01-01 00:04:57,1900-01-01 00:04:59,And how much money did you put in?,And how much money did you put in?,curiosity,neutral,mild
1900-01-01 00:04:59,1900-01-01 00:05:02,"Probably like $1,000.","Probably like $1,000.",uncertainty,neutral,mild
1900-01-01 00:05:02,1900-01-01 00:05:03,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:05:03,1900-01-01 00:05:04,"Financially, where are we?","Financially, where are we?",uncertainty,fear,mild
1900-01-01 00:05:04,1900-01-01 00:05:06,The restaurant's in debt at this point.,The restaurant's in debt at this point.,concern,sadness,moderate
1900-01-01 00:05:06,1900-01-01 00:05:07,That's not good.,That's not good.,disappointment,sadness,mild
1900-01-01 00:05:07,1900-01-01 00:05:09,And who makes the decisions here?,And who makes the decisions here?,curiosity,neutral,mild
1900-01-01 00:05:09,1900-01-01 00:05:10,Tatiana.,Tatiana.,neutrality,neutral,neutral
1900-01-01 00:05:10,1900-01-01 00:05:12,"Well, they have other jobs as well.","Well, they have other jobs as well.",acceptance,neutral,neutral
1900-01-01 00:05:12,1900-01-01 00:05:13,"So you have a full-time job, and you come","So you have a full-time job, and you come",curiosity,neutral,neutral
1900-01-01 00:05:13,1900-01-01 00:05:14,in here to run the restaurant?,in here to run the restaurant?,curiosity,neutral,mild
1900-01-01 00:05:14,1900-01-01 00:05:15,Right.,Right.,agreement,neutral,neutral
1900-01-01 00:05:15,1900-01-01 00:05:16,Wow.,Wow.,amazement,surprise,mild
1900-01-01 00:05:16,1900-01-01 00:05:17,So what's gone wrong then?,So what's gone wrong then?,concern,fear,moderate
1900-01-01 00:05:17,1900-01-01 00:05:18,I don't know.,I don't know.,uncertainty,neutral,neutral
1900-01-01 00:05:18,1900-01-01 00:05:20,You don't know?,You don't know?,doubt,surprise,mild
1900-01-01 00:05:20,1900-01-01 00:05:21,Wow.,Wow.,amazement,surprise,mild
1900-01-01 00:05:21,1900-01-01 00:05:24,So then what's the changes you made when you bought it?,So then what's the changes you made when you bought it?,curiosity,neutral,mild
1900-01-01 00:05:24,1900-01-01 00:05:26,Nothing changed.,Nothing changed.,resignation,sadness,mild
1900-01-01 00:05:26,1900-01-01 00:05:27,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:05:27,1900-01-01 00:05:29,"So Simon ran it in a bad way, didn't","So Simon ran it in a bad way, didn't",criticism,disgust,mild
1900-01-01 00:05:29,1900-01-01 00:05:32,"give a shit about the customers, and it was appallingly led.","give a shit about the customers, and it was appallingly led.",contempt,disgust,intense
1900-01-01 00:05:32,1900-01-01 00:05:34,But you haven't changed anything.,But you haven't changed anything.,disappointment,sadness,moderate
1900-01-01 00:05:34,1900-01-01 00:05:35,That's been a major issue.,That's been a major issue.,frustration,anger,moderate
1900-01-01 00:05:36,1900-01-01 00:05:38,"Help me understand, because I'm confused.","Help me understand, because I'm confused.",confusion,sadness,moderate
1900-01-01 00:05:38,1900-01-01 00:05:43,"The risk is little on your side, yet mama for you.","The risk is little on your side, yet mama for you.",concern,fear,mild
1900-01-01 00:05:43,1900-01-01 00:05:45,"And yet, you're not even in control of the business.","And yet, you're not even in control of the business.",contempt,disgust,moderate
1900-01-01 00:05:45,1900-01-01 00:05:46,Right.,Right.,agreement,neutral,neutral
1900-01-01 00:05:46,1900-01-01 00:05:47,Wow.,Wow.,amazement,surprise,mild
1900-01-01 00:05:47,1900-01-01 00:05:49,I just don't know what I've done so wrong.,I just don't know what I've done so wrong.,confusion,sadness,moderate
1900-01-01 00:05:49,1900-01-01 00:05:51,"Like, I don't know.","Like, I don't know.",uncertainty,neutral,mild
1900-01-01 00:05:51,1900-01-01 00:05:56,"I think we've seen a much clearer, uglier side of her.","I think we've seen a much clearer, uglier side of her.",disapproval,disgust,moderate
1900-01-01 00:05:56,1900-01-01 00:05:57,This is the thing.,This is the thing.,uncertainty,neutral,neutral
1900-01-01 00:05:57,1900-01-01 00:05:58,I don't think they trust me.,I don't think they trust me.,insecurity,sadness,moderate
1900-01-01 00:05:58,1900-01-01 00:06:00,"Well, you brought them into a mess.","Well, you brought them into a mess.",blame,anger,mild
1900-01-01 00:06:00,1900-01-01 00:06:02,What it comes down to is that she,What it comes down to is that she,anticipation,neutral,mild
1900-01-01 00:06:02,1900-01-01 00:06:04,does not treat us as equals.,does not treat us as equals.,resentment,anger,moderate
1900-01-01 00:06:04,1900-01-01 00:06:06,"You talk down to me, you bulldoze me,","You talk down to me, you bulldoze me,",resentment,anger,moderate
1900-01-01 00:06:06,1900-01-01 00:06:08,you do not treat me like an equal.,you do not treat me like an equal.,resentment,anger,moderate
1900-01-01 00:06:08,1900-01-01 00:06:10,You don't treat me like one third of this restaurant.,You don't treat me like one third of this restaurant.,resentment,anger,moderate
1900-01-01 00:06:10,1900-01-01 00:06:13,"Well, I have the burden of the money,","Well, I have the burden of the money,",worry,sadness,moderate
1900-01-01 00:06:13,1900-01-01 00:06:15,and I'm making $2 an hour.,and I'm making $2 an hour.,resentment,anger,moderate
1900-01-01 00:06:15,1900-01-01 00:06:17,"She gets paid that much, but she also gets a car.","She gets paid that much, but she also gets a car.",envy,disgust,mild
1900-01-01 00:06:17,1900-01-01 00:06:20,"She gets her cell phone paid for, her gas.","She gets her cell phone paid for, her gas.",resentment,anger,mild
1900-01-01 00:06:20,1900-01-01 00:06:23,Wow.,Wow.,amazement,surprise,mild
1900-01-01 00:06:23,1900-01-01 00:06:24,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:06:24,1900-01-01 00:06:27,"So if you could get out of this, would you do it?","So if you could get out of this, would you do it?",curiosity,neutral,mild
1900-01-01 00:06:27,1900-01-01 00:06:30,"Looking back, we did make a very, you know,","Looking back, we did make a very, you know,",reflection,neutral,mild
1900-01-01 00:06:30,1900-01-01 00:06:32,risky and stupid decision.,risky and stupid decision.,contempt,disgust,moderate
1900-01-01 00:06:35,1900-01-01 00:06:39,"My sister doesn't have that burden of losing her house,","My sister doesn't have that burden of losing her house,",resentment,sadness,moderate
1900-01-01 00:06:39,1900-01-01 00:06:42,so she's never been really responsible.,so she's never been really responsible.,disapproval,disgust,mild
1900-01-01 00:06:42,1900-01-01 00:06:43,"Listen, I'm back to eat.","Listen, I'm back to eat.",assertiveness,neutral,neutral
1900-01-01 00:06:43,1900-01-01 00:06:44,"Nice to meet you, all three of you.","Nice to meet you, all three of you.",friendliness,happiness,mild
1900-01-01 00:06:44,1900-01-01 00:06:46,And I'm going to see what I'm going to work with.,And I'm going to see what I'm going to work with.,curiosity,neutral,mild
1900-01-01 00:06:46,1900-01-01 00:06:47,Thank you.,Thank you.,gratitude,happiness,mild
1900-01-01 00:06:47,1900-01-01 00:06:48,Thank you.,Thank you.,gratitude,happiness,mild
1900-01-01 00:06:48,1900-01-01 00:06:52,"It's emotionally draining, and it's a scary situation.","It's emotionally draining, and it's a scary situation.",anxiety,fear,intense
1900-01-01 00:06:57,1900-01-01 00:06:58,Rice.,Rice.,neutrality,neutral,neutral
1900-01-01 00:06:58,1900-01-01 00:06:59,Here we go.,Here we go.,anticipation,surprise,mild
1900-01-01 00:07:00,1900-01-01 00:07:02,"Oh, my word.","Oh, my word.",astonishment,surprise,mild
1900-01-01 00:07:02,1900-01-01 00:07:04,Here's some water for you.,Here's some water for you.,kindness,happiness,mild
1900-01-01 00:07:04,1900-01-01 00:07:05,Thank you very much.,Thank you very much.,gratitude,happiness,mild
1900-01-01 00:07:05,1900-01-01 00:07:07,"My name is Genevieve, and I'm going to be your server.","My name is Genevieve, and I'm going to be your server.",introduction,neutral,neutral
1900-01-01 00:07:07,1900-01-01 00:07:08,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:07:08,1900-01-01 00:07:09,Can I get you started with anything?,Can I get you started with anything?,helpfulness,neutral,neutral
1900-01-01 00:07:09,1900-01-01 00:07:10,Let's go.,Let's go.,readiness,happiness,mild
1900-01-01 00:07:10,1900-01-01 00:07:12,"Right, let's start off with the toasted ravioli.","Right, let's start off with the toasted ravioli.",anticipation,happiness,mild
1900-01-01 00:07:12,1900-01-01 00:07:13,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:07:13,1900-01-01 00:07:14,The frutta di mame.,The frutta di mame.,neutrality,neutral,neutral
1900-01-01 00:07:14,1900-01-01 00:07:15,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:07:15,1900-01-01 00:07:16,The lasagna.,The lasagna.,neutrality,neutral,neutral
1900-01-01 00:07:16,1900-01-01 00:07:18,"It's not your typical lasagna, so be","It's not your typical lasagna, so be",anticipation,surprise,mild
1900-01-01 00:07:18,1900-01-01 00:07:22,prepared for something different.,prepared for something different.,anticipation,surprise,mild
1900-01-01 00:07:22,1900-01-01 00:07:24,"What do you mean, something different?","What do you mean, something different?",confusion,surprise,mild
1900-01-01 00:07:24,1900-01-01 00:07:25,It's kind of like?,It's kind of like?,curiosity,neutral,mild
1900-01-01 00:07:25,1900-01-01 00:07:26,"Save it, save it, save it.","Save it, save it, save it.",urgency,fear,intense
1900-01-01 00:07:26,1900-01-01 00:07:27,Are you sure?,Are you sure?,doubt,fear,mild
1900-01-01 00:07:27,1900-01-01 00:07:28,Absolutely.,Absolutely.,agreement,happiness,mild
1900-01-01 00:07:28,1900-01-01 00:07:31,"We're in California, so why not chicken pizza?","We're in California, so why not chicken pizza?",curiosity,neutral,mild
1900-01-01 00:07:31,1900-01-01 00:07:32,OK.,OK.,acceptance,neutral,neutral
1900-01-01 00:07:32,1900-01-01 00:07:34,Excellent.,Excellent.,satisfaction,happiness,mild
1900-01-01 00:07:34,1900-01-01 00:07:35,And who makes the bread?,And who makes the bread?,curiosity,neutral,mild
